Loaded 10000 UniProt IDs
Scanned 2570/10000 | reused=0 | fetched_new=0 | failed=2570
Scanned 2580/10000 | reused=0 | fetched_new=0 | failed=2580
Scanned 2590/10000 | reused=0 | fetched_new=0 | failed=2590
Scanned 2600/10000 | reused=0 | fetched_new=0 | failed=2600
Scanned 2610/10000 | reused=0 | fetched_new=0 | failed=2610
Scanned 2620/10000 | reused=0 | fetched_new=0 | failed=2620
Scanned 2630/10000 | reused=0 | fetched_new=0 | failed=2630
Scanned 2640/10000 | reused=0 | fetched_new=0 | failed=2640
Scanned 2650/10000 | reused=0 | fetched_new=0 | failed=2650
Scanned 2660/10000 | reused=0 | fetched_new=0 | failed=2660
Scanned 2670/10000 | reused=0 | fetched_new=0 | failed=2670
Scanned 2680/10000 | reused=0 | fetched_new=0 | failed=2680
Scanned 2690/10000 | reused=0 | fetched_new=0 | failed=2690
Scanned 2700/10000 | reused=0 | fetched_new=0 | failed=2700
Scanned 2710/10000 | reused=0 | fetched_new=0 | failed=2710
Scanned 2720/10000 | reused=0 | fetched_new=0 | failed=2720
Scanned 2730/10000 | reused=0 | fetched_new=0 | failed=2730
Scanned 2740/10000 | reused=0 | fetched_new=0 | failed=2740
Scanned 2750/10000 | reused=0 | fetched_new=0 | failed=2750
Scanned 2760/10000 | reused=0 | fetched_new=0 | failed=2760
Scanned 2770/10000 | reused=0 | fetched_new=0 | failed=2770
Scanned 2780/10000 | reused=0 | fetched_new=0 | failed=2780
Scanned 2790/10000 | reused=0 | fetched_new=0 | failed=2790
Scanned 2800/10000 | reused=0 | fetched_new=0 | failed=2800
Scanned 2810/10000 | reused=0 | fetched_new=0 | failed=2810
Scanned 2820/10000 | reused=0 | fetched_new=0 | failed=2820
Scanned 2830/10000 | reused=0 | fetched_new=0 | failed=2830
Scanned 2840/10000 | reused=0 | fetched_new=0 | failed=2840
Scanned 2850/10000 | reused=0 | fetched_new=0 | failed=2850
Scanned 2860/10000 | reused=0 | fetched_new=0 | failed=2860
Scanned 2870/10000 | reused=0 | fetched_new=0 | failed=2870
Scanned 2880/10000 | reused=0 | fetched_new=0 | failed=2880
Scanned 2890/10000 | reused=0 | fetched_new=0 | failed=2890
Scanned 2900/10000 | reused=0 | fetched_new=0 | failed=2900
Scanned 2910/10000 | reused=0 | fetched_new=0 | failed=2910
Scanned 2920/10000 | reused=0 | fetched_new=0 | failed=2920
Scanned 2930/10000 | reused=0 | fetched_new=0 | failed=2930
Scanned 2940/10000 | reused=0 | fetched_new=0 | failed=2940
Scanned 2950/10000 | reused=0 | fetched_new=0 | failed=2950
Scanned 2960/10000 | reused=0 | fetched_new=0 | failed=2960
Scanned 2970/10000 | reused=0 | fetched_new=0 | failed=2970
Scanned 2980/10000 | reused=0 | fetched_new=0 | failed=2980
Scanned 2990/10000 | reused=0 | fetched_new=0 | failed=2990
Scanned 3000/10000 | reused=0 | fetched_new=0 | failed=3000
Scanned 3010/10000 | reused=0 | fetched_new=0 | failed=3010
Scanned 3020/10000 | reused=0 | fetched_new=0 | failed=3020
Scanned 3030/10000 | reused=0 | fetched_new=0 | failed=3030
Scanned 3040/10000 | reused=0 | fetched_new=0 | failed=3040
